Empresa,Nombre completo,Categoria,Producto,Reemplazo,Precio
Óptica Universitaria,PRECISION1™ 30 UNIDADES DIARIA,Lentes de Contacto,Precision1,Diarias,22.5
Óptica Universitaria,LENTSOFT DIARIA HIDROGEL ASTIGMATISMO 30 UNIDADES,Lentes de Contacto,Marca Propia,Diarias,25.0
Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS 30 UNIDADES DIARIA,Lentes de Contacto,Dailies,Diarias,26.0
Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS 90 UNIDADES DIARIA,Lentes de Contacto,Dailies,Diarias,75.0
Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS MULTIFOCAL 30 UNIDADES DIARIA,Lentes de Contacto,Dailies,Diarias,33.0
Óptica Universitaria,DAILIES™ TOTAL1™ 30 UNIDADES DIARIAS,Lentes de Contacto,total 30,Diarias,33.5
Óptica Universitaria,DAILIES™ TOTAL1™ 90 UNIDADES DIARIAS,Lentes de Contacto,total 30,Diarias,80.0
Óptica Universitaria,LENTSOFT DIARIA SILICONA 30 UNIDADES,Lentes de Contacto,Marca Propia,Diarias,17.0
Óptica Universitaria,ACUVUE® OASYS MAX 1-Day 30 UNIDADES,Lentes de Contacto,Acuvue,Diarias,35.0
Óptica Universitaria,PRECISION1™ ASTIGMATISMO 30 UNIDADES DIARIA,Lentes de Contacto,Precision1,Diarias,34.0
Óptica Universitaria,PRECISION1™ ASTIGMATISMO 90 UNIDADES DIARIA,Lentes de Contacto,Precision1,Diarias,95.0
Óptica Universitaria,1-DAY™ ACUVUE™ OASYS ASTIGMATISMO 90 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,80.0
Óptica Universitaria,LENTSOFT DIARIA HIDROGEL MULTIFOCAL 30 UNIDADES,Lentes de Contacto,Marca Propia,Diarias,29.0
Óptica Universitaria,PRECISION1™ 90 UNIDADES DIARIA,Lentes de Contacto,Precision1,Diarias,67.0
Óptica Universitaria,MyDay™ MULTIFOCAL 30 UNIDADES,Lentes de Contacto,Biofinity,Diarias,49.0
Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS ASTIGMATISMO 90 UNIDADES DIARIA,Lentes de Contacto,Dailies,Diarias,85.0
Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS MULTIFOCAL 90 UNIDADES DIARIA,Lentes de Contacto,Dailies,Diarias,95.0
Óptica Universitaria,LENTSOFT DIARIA CONFORT+ SILICONA 30 UNIDADES,Lentes de Contacto,Marca Propia,Diarias,19.0
Óptica Universitaria,LENTSOFT DIARIA CONFORT+ SILICONA ASTIGMATISMO 30 UNIDADES,Lentes de Contacto,Marca Propia,Diarias,31.0
Óptica Universitaria,LENTSOFT DIARIA CONFORT+ SILICONA MULTIFOCAL 30 UNIDADES,Lentes de Contacto,Marca Propia,Diarias,33.0
Óptica Universitaria,DAILIES™ TOTAL1™ ASTIGMATISMO 30 UNIDADES DIARIAS,Lentes de Contacto,total 30,Diarias,49.0
Óptica Universitaria,DAILIES™ TOTAL1™ ASTIGMATISMO 90 UNIDADES DIARIAS,Lentes de Contacto,total 30,Diarias,127.0
Óptica Universitaria,ACUVUE® OASYS MAX MULTIFOCAL 1-Day 30 UNIDADES ,Lentes de Contacto,Acuvue,Diarias,44.0
Óptica Universitaria,LENTSOFT DIARIA HIDROGEL 90 UNIDADES (3x30 UNIDADES),Lentes de Contacto,Marca Propia,Diarias,44.0
Óptica Universitaria,AIR OPTIX™ PLUS HYDRAGLYDE™ 6 UNIDADES MENSUAL,Lentes de Contacto,Air Optix,Mensual,31.0
Óptica Universitaria,AIR OPTIX™ PLUS HYDRAGLYDE™ ASTIGMATISMO 6 UNIDADES MENSUAL,Lentes de Contacto,Air Optix,Mensual,59.0
Óptica Universitaria,LENTSOFT MENSUAL CONFORT+ SILICONA ASTIGMATISMO 6 UNIDADES,Lentes de Contacto,Marca Propia,Mensual,49.0
Óptica Universitaria,LENTSOFT MENSUAL CONFORT+ SILICONA MULTIFOCAL 6 UNIDADES,Lentes de Contacto,Marca Propia,Mensual,49.0
Óptica Universitaria,LENTSOFT MENSUAL SILICONA 6 UNIDADES,Lentes de Contacto,Marca Propia,Mensual,27.0
Óptica Universitaria,LENTSOFT MENSUAL SILICONA ASTIGMATISMO 6 UNIDADES,Lentes de Contacto,Marca Propia,Mensual,49.0
Óptica Universitaria,LENTSOFT MENSUAL CONFORT+ SILICONA 6 UNIDADES,Lentes de Contacto,Marca Propia,Mensual,29.0
Óptica Universitaria,LENTSOFT MENSUAL SILICONA MULTIFOCAL XR 6 UDS,Lentes de Contacto,Marca Propia,Mensual,84.0
Óptica Universitaria,LENTSOFT MENSUAL SILICONA  MULTIFOCAL ASTIGMATISMO XR 6 UDS,Lentes de Contacto,Marca Propia,Mensual,89.0
Óptica Universitaria,LENTSOFT MENSUAL SILICONA XR 6 UNIDADES,Lentes de Contacto,Marca Propia,Mensual,68.0
Óptica Universitaria,LENTSOFT MENSUAL SILICONA ASTIGMATISMO XR 6 UDS,Lentes de Contacto,Marca Propia,Mensual,84.0
Óptica Universitaria,LENTSOFT MENSUAL HIDROGEL ASTIGMATISMO 6 uni.,Lentes de Contacto,Marca Propia,Mensual,44.0
Óptica Universitaria,LENTSOFT MENSUAL HIDROGEL 6 uni.,Lentes de Contacto,Marca Propia,Mensual,19.0
Óptica Universitaria,BIOFINITY™ XR ASTIGMATISMO MULTIFOCAL 3 UNIDADES MENSUAL,Lentes de Contacto,Biofinity,Mensual,59.0
Óptica Universitaria,BIOFINITY™ 6 UNIDADES MENSUAL,Lentes de Contacto,Biofinity,Mensual,37.0
Óptica Universitaria,BIOFINITY ASTIGMATISMO 6 UNIDADES MENSUAL,Lentes de Contacto,Biofinity,Mensual,59.0
Óptica Universitaria,AIR OPTIX™ PLUS HYDRAGLYDE™ MULTIFOCAL 6 UNIDADES MENSUAL,Lentes de Contacto,Air Optix,Mensual,59.0
Óptica Universitaria,ACUVUE™ VITA ASTIGMATISM 6 UNIDADES MENSUAL,Lentes de Contacto,Acuvue,Mensual,50.0
Óptica Universitaria,LENTSOFT MENSUAL SILICONA MULTIFOCAL 6 UNIDADES,Lentes de Contacto,Marca Propia,Mensual,49.0
Óptica Universitaria,FRESHLOOK™ COLORBLENDS™ 2 UNIDADES MENSUAL,Lentes de Contacto,Freshlook,Mensual,22.0
Óptica Universitaria,AIR OPTIX™ COLORS GRADUADO 2 UNIDADES MENSUAL,Lentes de Contacto,Air Optix colors,Mensual,28.0
Óptica Universitaria,AIR OPTIX™ COLORS 2 UNIDADES MENSUAL,Lentes de Contacto,Air Optix colors,Mensual,28.0
Óptica Universitaria,ACUVUE™ VITA 6 UNIDADES MENSUAL,Lentes de Contacto,Acuvue,Mensual,32.0
Óptica Universitaria,LENTILLA GRADUADA FANTASIA RX 1 UNIDAD MENSUAL,Lentes de Contacto,Servilens,Mensual,22.0
Óptica Universitaria,DAILIES™ AQUACOMFORT™ PLUS ASTIGMATISMO 30 UNIDADES DIARIA,Lentes de Contacto,Dailies,Diarias,29.0
Óptica Universitaria,LENTSOFT DIARIA HIDROGEL 30 UNIDADES,Lentes de Contacto,Marca Propia,Diarias,15.9
Óptica Universitaria,1-DAY™ ACUVUE™ MOIST 30 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,24.0
Óptica Universitaria,1-DAY™ ACUVUE™ MOIST 90 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,65.0
Óptica Universitaria,1-DAY™ ACUVUE™ OASYS 30 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,30.0
Óptica Universitaria,1-DAY™ ACUVUE™ OASYS 90 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,74.0
Óptica Universitaria,LENTSOFT DIARIA SILICONA ASTIGMATISMO 30 UNIDADES,Lentes de Contacto,Marca Propia,Diarias,31.0
Óptica Universitaria,LENTSOFT DIARIA SILICONA MULTIFOCAL 30 UNIDADES,Lentes de Contacto,Marca Propia,Diarias,36.0
Óptica Universitaria,1-DAY™ ACUVUE™ MOIST ASTIGMATISMO 30 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,31.0
Óptica Universitaria,1-DAY™ ACUVUE™ OASYS ASTIGMATISMO 30 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,36.0
Óptica Universitaria,1-DAY™ ACUVUE™ MOIST ASTIGMATISMO 90 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,76.0
Óptica Universitaria,1-DAY™ ACUVUE™ MOIST MULTIFOCAL 30 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,33.0
Óptica Universitaria,1-DAY™ ACUVUE™ MOIST MULTIFOCAL 90 UNIDADES DIARIA,Lentes de Contacto,Acuvue,Diarias,79.0
Óptica Universitaria,LENTILLAS FANTASIA CRAZY LENS 2 UNIDADES SEMANAL,Lentes de Contacto,Disop,Diarias,15.0
Óptica Universitaria,TOTAL30™ SILICONA 6 UNIDADES MENSUAL,Lentes de Contacto,total 30,Mensual,45.0
Óptica Universitaria,ACUVUE™ OASYS MULTIFOCAL 6 UNIDADES Quincenales,Lentes de Contacto,Acuvue,Quincenal,45.0
Óptica Universitaria,ACUVUE™ OASYS TRANSITIONS 6 UNIDADES QUINCENALES FOTOCROMATICAS,Lentes de Contacto,Acuvue,Quincenal,39.0
Óptica Universitaria,ACUVUE™ OASYS 12 UNIDADES QUINCENALES,Lentes de Contacto,Acuvue,Quincenal,45.0
Óptica Universitaria,ACUVUE™ OASYS 6 UNIDADES Quincenales,Lentes de Contacto,Acuvue,Quincenal,29.0
Óptica Universitaria,ACUVUE™ OASYS ASTIGMATISMO 6 UNIDADES QUINCENALES,Lentes de Contacto,Acuvue,Quincenal,34.0
